Módulo,Funcionalidade,DescriçãoDetalhada
Painel de Controle,KPIs em Tempo Real,"Visualização instantânea de Receita, Despesa e Saldo com variação percentual em relação ao mês anterior."
Painel de Controle,Score de Saúde Financeira,"Nota automática de 0 a 100 para saúde financeira, avaliando orçamento, capacidade de poupança e metas."
Painel de Controle,Projeção Inteligente (6 Meses),"Algoritmo preditivo que projeta o saldo futuro considerando histórico médio e despesas recorrentes agendadas."
Painel de Controle,Regra 50/30/20,"Gráfico de rosca automático que classifica gastos em Necessidades (50%), Desejos (30%) e Objetivos (20%)."
Painel de Controle,Alertas Financeiros por IA,"Sistema que detecta e notifica sobre concentração de gastos em uma categoria ou desvios da média histórica."
Painel de Controle,Meta em Destaque,"Widget de acompanhamento rápido da meta financeira principal diretamente no dashboard."
Transações,Gestão Completa (CRUD),"Adição, edição e exclusão de receitas e despesas com suporte a categorias personalizadas e meios de pagamento."
Transações,Importação de Extrato,"Módulo para importar transações em massa via arquivos bancários (OFX/CSV) ou Colar Texto."
Transações,Gestão de Recorrências,"Organizador específico para assinaturas e contas fixas (Netflix, Aluguel, Internet) com renovação automática."
Cartão de Crédito,Suporte a Multi-cartões,"Gerenciamento de ilimitados cartões de crédito com definições individuais de dia de vencimento e fechamento."
Cartão de Crédito,Controle de Fatura e Limite,"Visualização gráfica do limite utilizado vs disponível e status da fatura (Aberta/Fechada/Vencendo)."
Cartão de Crédito,Parcelamento Automático,"Lançamento inteligente de compras parceladas, distribuindo valores automaticamente nas faturas dos meses seguintes."
Cartão de Crédito,Design Personalizável,"Carousel visual com cartões coloridos personalizáveis (temas como Nubank, Black, Gold, etc)."
Metas e Sonhos,Gestão de Objetivos,"Criação de metas com valor alvo, valor atual e prazo, com cálculo automático de progresso."
Investimentos,Central de Patrimônio,"Visão consolidada do patrimônio investido (integração manual)."
Educação,Área de Membros,"Plataforma de cursos integrada (LMS) para assistir aulas de educação financeira dentro do app."
Ferramentas,AI Financial CFO,"Chatbot consultor financeiro integrado (IA) para tirar dúvidas e pedir análises sobre os dados do usuário."
Ferramentas,Simulador de Gastos / Calculadora,"Ferramenta para simular o impacto de uma nova compra no orçamento antes de efetivá-la."
Ferramentas,Relatório Mensal,"Geração de relatório detalhado do mês para análise."
Sistema,Planos e Assinaturas (SaaS),"Sistema completo de paywall com Trial (testes grátis), bloqueio de recursos premium e integração com checkout."
Sistema,Temas (Dark/Light),"Suporte nativo a modo claro e modo escuro com troca rápida."
Sistema,Admin Panel,"Painel administrativo para gestão de usuários e métricas do sistema (apenas para admins)."
Sistema,Notificações e Inbox,"Central de mensagens para comunicação do sistema com o usuário (aviso de vencimentos, dicas)."
